0 2 6 22 0
0 1 9 10 4
2 4 3 13 1
6 2 5 9 1
0 3 2 11 2
6 3 7 15 2
0 6 9 11 0
0 3 6 8 0
0 1 11 8 1
2 4 5 7 0
4 1 1 8 2
3 2 0 11 1
1 2 0 8 0
0 9 0 1 3
0 9 0 0 5
2 8 0 1 5
1 0 0 2 2
1 0 0 1 0
1 1 0 0 1
0 2 0 1 0
2 2 0 0 0
4 1 0 1 0
1 5 0 4 0
0 1 0 1 1
2 0 0 1 1
1 0 0 1 1
2 1 0 1 1
3 2 0 0 2
3 6 13 9 0
0 3 11 10 3
1 2 9 12 1
1 6 6 6 2
2 10 6 11 5
8 5 8 23 3
6 10 7 25 3
3 5 2 11 3
2 7 4 14 3
2 6 10 16 6
7 4 10 24 5
1 9 14 20 4
4 8 10 16 2
5 8 11 22 7
6 7 7 16 8
2 6 12 17 5
3 9 4 17 6
5 4 4 21 7
3 7 11 23 3
2 10 4 28 4
8 8 13 27 2
3 14 17 14 3
3 7 13 23 5
4 7 13 23 5
3 9 9 26 1
5 11 8 18 6
2 9 12 22 6
4 6 6 22 7
3 12 11 19 4
6 8 8 17 3
8 7 7 18 5
1 7 8 26 5
4 6 8 22 2
2 5 8 25 2
1 6 11 24 9
2 8 7 24 4
2 3 5 19 5
1 6 9 16 4
4 6 4 23 4
0 3 5 16 3
1 0 6 16 1
3 5 6 14 2
5 0 4 9 3
1 2 3 18 4
1 2 6 10 2
0 4 3 17 3
0 1 10 5 2
1 2 4 7 0
2 3 0 13 1
1 2 8 13 3
2 5 2 10 3
2 5 4 4 3
0 2 3 8 0
0 1 4 7 2
0 6 4 3 0
0 1 4 2 0
2 1 1 5 0
